Band,Formed,Origin
Amon Amarth,1992,Sweden
Ancient Rites,1988,Belgium
Ásmegin,1998,Norway
Bathory,1983,Sweden
Borknagar,1995,Norway
Burzum,1988,Norway
Darkwoods My Betrothed,1992,Finland
Destroy Destroy Destroy,2003,United States
Drottnar,1996,Norway
Einherjer,1993,Norway
Elexorien,2004,Netherlands
Emperor,1991,Norway
Ensiferum,1995,Finland
Enslaved,1991,Norway
Equilibrium,2001,Germany
Falkenbach,1989,Germany
Folkearth,2003,International
Forefather,1997,England
Glittertind,2001,Norway
Grand Magus,1996,Sweden
Hel,1999,Sweden
Heidevolk,2002,Netherlands
Helheim,1992,Norway
Helrunar,2001,Germany
Holy Blood,1999,Ukraine
Kampfar,1994,Norway
Leaves' Eyes,2003,Germany/Norway
Lumsk,1999,Norway
Månegarm,1995,Sweden
Mithotyn,1993,Sweden
Moonsorrow,1995,Finland
Obscurity,1997,Germany
Skálmöld,2009,Iceland
Skeletonwitch,2003,United States
Storm,1994,Norway
Slechtvalk,1999,Netherlands
Svartsot,2005,Denmark
The Sword,2003,United States
Thyrfing,1995,Sweden
Trollech,1999,Czech Republic
Turisas,1997,Finland
Týr,1998,Faroe Islands
Unleashed,1989,Sweden
Windir,1994,Norway
Wolfchant,2003,Germany
